"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"g:\self\fullstack\mockmate\backend\constants\config.js", "JavaScript", 8, 0, 0, 0, 0, 1, 4, 13
"g:\self\fullstack\mockmate\backend\constants\events.js", "JavaScript", 3, 0, 0, 0, 0, 0, 2, 5
"g:\self\fullstack\mockmate\backend\controllers\postController.js", "JavaScript", 220, 0, 0, 0, 0, 10, 45, 275
"g:\self\fullstack\mockmate\backend\controllers\userControllers.js", "JavaScript", 588, 0, 0, 0, 0, 90, 131, 809
"g:\self\fullstack\mockmate\backend\db.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"g:\self\fullstack\mockmate\backend\index.js", "JavaScript", 109, 0, 0, 0, 0, 35, 65, 209
"g:\self\fullstack\mockmate\backend\lib\authHelper.js", "JavaScript", 18, 0, 0, 0, 0, 0, 5, 23
"g:\self\fullstack\mockmate\backend\lib\helper.js", "JavaScript", 8, 0, 0, 0, 0, 0, 7, 15
"g:\self\fullstack\mockmate\backend\lib\validators.js", "JavaScript", 33, 0, 0, 0, 0, 0, 12, 45
"g:\self\fullstack\mockmate\backend\middlewares\auth.js", "JavaScript", 49, 0, 0, 0, 0, 2, 18, 69
"g:\self\fullstack\mockmate\backend\middlewares\multer.js", "JavaScript", 9, 0, 0, 0, 0, 1, 8, 18
"g:\self\fullstack\mockmate\backend\models\chatSchema.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 18
"g:\self\fullstack\mockmate\backend\models\messageSchema.js", "JavaScript", 29, 0, 0, 0, 0, 0, 4, 33
"g:\self\fullstack\mockmate\backend\models\notificationSchema.js", "JavaScript", 27, 0, 0, 0, 0, 0, 3, 30
"g:\self\fullstack\mockmate\backend\models\postSchema.js", "JavaScript", 29, 0, 0, 0, 0, 0, 4, 33
"g:\self\fullstack\mockmate\backend\models\requestSchema.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"g:\self\fullstack\mockmate\backend\models\userSchema.js", "JavaScript", 45, 0, 0, 0, 0, 1, 4, 50
"g:\self\fullstack\mockmate\backend\package-lock.json", "JSON", 0, 4029, 0, 0, 0, 0, 1, 4030
"g:\self\fullstack\mockmate\backend\package.json", "JSON", 0, 29, 0, 0, 0, 0, 1, 30
"g:\self\fullstack\mockmate\backend\routes\postRoute.js", "JavaScript", 12, 0, 0, 0, 0, 3, 12, 27
"g:\self\fullstack\mockmate\backend\routes\userRoute.js", "JavaScript", 20, 0, 0, 0, 0, 8, 28, 56
"g:\self\fullstack\mockmate\backend\utils\features.js", "JavaScript", 34, 0, 0, 0, 0, 1, 19, 54
"g:\self\fullstack\mockmate\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"g:\self\fullstack\mockmate\frontend\package-lock.json", "JSON", 0, 32838, 0, 0, 0, 0, 1, 32839
"g:\self\fullstack\mockmate\frontend\package.json", "JSON", 0, 55, 0, 0, 0, 0, 1, 56
"g:\self\fullstack\mockmate\frontend\public\index.html", "HTML", 0, 0, 0, 25, 0, 23, 3, 51
"g:\self\fullstack\mockmate\frontend\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"g:\self\fullstack\mockmate\frontend\src\App.css", "CSS", 0, 0, 0, 0, 97, 4, 21, 122
"g:\self\fullstack\mockmate\frontend\src\App.js", "JavaScript", 80, 0, 0, 0, 0, 4, 27, 111
"g:\self\fullstack\mockmate\frontend\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"g:\self\fullstack\mockmate\frontend\src\components\auth\ProtectedRoute.jsx", "JavaScript", 9, 0, 0, 0, 0, 12, 14, 35
"g:\self\fullstack\mockmate\frontend\src\components\layout\ChatHeader.jsx", "JavaScript", 186, 0, 0, 0, 0, 17, 41, 244
"g:\self\fullstack\mockmate\frontend\src\components\layout\ChatLayout.jsx", "JavaScript", 135, 0, 0, 0, 0, 2, 24, 161
"g:\self\fullstack\mockmate\frontend\src\components\layout\Header.jsx", "JavaScript", 256, 0, 0, 0, 0, 28, 51, 335
"g:\self\fullstack\mockmate\frontend\src\components\layout\HomeLayout.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"g:\self\fullstack\mockmate\frontend\src\components\shared\ChatItem.jsx", "JavaScript", 104, 0, 0, 0, 0, 4, 23, 131
"g:\self\fullstack\mockmate\frontend\src\components\shared\MessageComponent.jsx", "JavaScript", 64, 0, 0, 0, 0, 2, 15, 81
"g:\self\fullstack\mockmate\frontend\src\components\shared\NotificationItem.jsx", "JavaScript", 145, 0, 0, 0, 0, 10, 34, 189
"g:\self\fullstack\mockmate\frontend\src\components\shared\PostItem.jsx", "JavaScript", 105, 0, 0, 0, 0, 38, 35, 178
"g:\self\fullstack\mockmate\frontend\src\components\shared\RenderAttachment.jsx", "JavaScript", 36, 0, 0, 0, 0, 1, 6, 43
"g:\self\fullstack\mockmate\frontend\src\components\specific\ChatList.jsx", "JavaScript", 54, 0, 0, 0, 0, 6, 13, 73
"g:\self\fullstack\mockmate\frontend\src\components\specific\CreatePost.jsx", "JavaScript", 161, 0, 0, 0, 0, 5, 36, 202
"g:\self\fullstack\mockmate\frontend\src\components\specific\NotificationList.jsx", "JavaScript", 63, 0, 0, 0, 0, 2, 16, 81
"g:\self\fullstack\mockmate\frontend\src\components\specific\PostList.jsx", "JavaScript", 77, 0, 0, 0, 0, 6, 23, 106
"g:\self\fullstack\mockmate\frontend\src\components\styles\SelectFriendAnimation.jsx", "JavaScript", 27, 0, 0, 0, 0, 0, 5, 32
"g:\self\fullstack\mockmate\frontend\src\components\styles\StyledComponents.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 5, 17
"g:\self\fullstack\mockmate\frontend\src\constants\colors.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"g:\self\fullstack\mockmate\frontend\src\constants\config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 2, 3
"g:\self\fullstack\mockmate\frontend\src\dialogs\CreatePostDialog.jsx", "JavaScript", 25, 0, 0, 0, 0, 0, 7, 32
"g:\self\fullstack\mockmate\frontend\src\dialogs\FileMenuDialog.jsx", "JavaScript", 119, 0, 0, 0, 0, 2, 25, 146
"g:\self\fullstack\mockmate\frontend\src\dialogs\MeetConfirmDialog.jsx", "JavaScript", 92, 0, 0, 0, 0, 2, 25, 119
"g:\self\fullstack\mockmate\frontend\src\dialogs\MeetRequestDialog.jsx", "JavaScript", 70, 0, 0, 0, 0, 8, 24, 102
"g:\self\fullstack\mockmate\frontend\src\dialogs\PostItemDialogBox.jsx", "JavaScript", 238, 0, 0, 0, 0, 38, 61, 337
"g:\self\fullstack\mockmate\frontend\src\events\events.js", "JavaScript", 6, 0, 0, 0, 0, 0, 5, 11
"g:\self\fullstack\mockmate\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"g:\self\fullstack\mockmate\frontend\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 5, 7, 26
"g:\self\fullstack\mockmate\frontend\src\library\ChatHomeAnimation_1.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"g:\self\fullstack\mockmate\frontend\src\library\ChatHomeAnimation_2.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"g:\self\fullstack\mockmate\frontend\src\library\functions.js", "JavaScript", 103, 0, 0, 0, 0, 3, 34, 140
"g:\self\fullstack\mockmate\frontend\src\library\sampleData.js", "JavaScript", 372, 0, 0, 0, 0, 1, 10, 383
"g:\self\fullstack\mockmate\frontend\src\pages\ChatHome.jsx", "JavaScript", 22, 0, 0, 0, 0, 5, 8, 35
"g:\self\fullstack\mockmate\frontend\src\pages\ChatWindow.jsx", "JavaScript", 218, 0, 0, 0, 0, 77, 97, 392
"g:\self\fullstack\mockmate\frontend\src\pages\Home.jsx", "JavaScript", 97, 0, 0, 0, 0, 20, 26, 143
"g:\self\fullstack\mockmate\frontend\src\pages\Login.jsx", "JavaScript", 257, 0, 0, 0, 0, 30, 36, 323
"g:\self\fullstack\mockmate\frontend\src\pages\Meet.jsx", "JavaScript", 7, 0, 0, 0, 0, 0, 4, 11
"g:\self\fullstack\mockmate\frontend\src\pages\MeetRoom.jsx", "JavaScript", 10, 0, 0, 0, 0, 0, 6, 16
"g:\self\fullstack\mockmate\frontend\src\pages\MeetZEGO.jsx", "JavaScript", 46, 0, 0, 0, 0, 0, 12, 58
"g:\self\fullstack\mockmate\frontend\src\pages\PageNotFound.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 5, 14
"g:\self\fullstack\mockmate\frontend\src\pages\Profile.jsx", "JavaScript", 199, 0, 0, 0, 0, 9, 29, 237
"g:\self\fullstack\mockmate\frontend\src\pages\TempDrawer.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 5, 27
"g:\self\fullstack\mockmate\frontend\src\redux\api\api.js", "JavaScript", 30, 0, 0, 0, 0, 0, 11, 41
"g:\self\fullstack\mockmate\frontend\src\redux\reducers\auth.js", "JavaScript", 22, 0, 0, 0, 0, 0, 6, 28
"g:\self\fullstack\mockmate\frontend\src\redux\reducers\chat.js", "JavaScript", 25, 0, 0, 0, 0, 2, 4, 31
"g:\self\fullstack\mockmate\frontend\src\redux\reducers\meet.js", "JavaScript", 39, 0, 0, 0, 0, 0, 6, 45
"g:\self\fullstack\mockmate\frontend\src\redux\reducers\misc.js", "JavaScript", 42, 0, 0, 0, 0, 22, 10, 74
"g:\self\fullstack\mockmate\frontend\src\redux\store.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"g:\self\fullstack\mockmate\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"g:\self\fullstack\mockmate\frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"g:\self\fullstack\mockmate\frontend\src\socket.js", "JavaScript", 16, 0, 0, 0, 0, 0, 11, 27
"g:\self\fullstack\mockmate\frontend\src\utils\style.css", "CSS", 0, 0, 0, 0, 25, 29, 13, 67
"Total", "-", 4953, 36978, 38, 25, 122, 573, 1315, 44004